Passenger_Id,pclass,sex,age,sibsp,parch,fare,survived,survived.0,survived.1,survived.predicted(th=0.40031)
648,3rd,female,22.0,0,0,7.75,1,0.39776134,0.60223865,1
391,3rd,male,16.0,1,3,34.375,0,0.8741941,0.1258059,0
351,1st,female,49.0,1,0,76.7292,1,0.14086121,0.8591388,1
1163,3rd,female,24.0,0,0,7.75,0,0.39776134,0.60223865,1
105,3rd,female,18.0,0,0,9.8417,1,0.39776134,0.60223865,1
516,1st,female,22.0,0,0,151.55,1,0.13200384,0.86799616,1
693,3rd,male,22.0,0,0,7.7958,0,0.88373595,0.11626406,0
585,2nd,female,4.0,1,1,23.0,1,0.13263893,0.86736107,1
173,3rd,male,,0,0,8.05,0,0.88373595,0.11626406,0
120,1st,male,34.0,0,0,26.55,1,0.63639235,0.36360767,0
1178,3rd,male,27.0,0,0,8.6625,0,0.88373595,0.11626406,0
1145,3rd,male,20.0,0,0,7.2292,1,0.88373595,0.11626406,0
74,3rd,male,,0,0,8.05,0,0.88373595,0.11626406,0
755,3rd,male,8.0,4,1,29.125,0,0.93054306,0.069456965,0
1088,1st,male,24.0,1,0,60.0,0,0.65360886,0.34639114,0
1299,1st,male,36.0,0,0,40.125,0,0.63639235,0.36360767,0
760,2nd,male,28.0,0,0,10.5,0,0.80440944,0.19559056,0
825,3rd,male,34.5,0,0,7.8292,0,0.88373595,0.11626406,0
223,3rd,male,,0,0,8.05,0,0.88373595,0.11626406,0
1160,2nd,female,8.0,1,1,26.0,1,0.13263893,0.86736107,1
797,3rd,male,19.0,0,0,7.775,0,0.88373595,0.11626406,0
166,1st,female,22.0,1,0,66.6,1,0.14086121,0.8591388,1
420,3rd,male,48.0,0,0,7.8542,0,0.88373595,0.11626406,0
924,3rd,male,27.0,0,0,7.7958,1,0.88373595,0.11626406,0
1243,2nd,female,36.0,0,0,13.0,1,0.26327592,0.7367241,1
346,3rd,male,19.0,0,0,7.8958,0,0.88373595,0.11626406,0
1016,3rd,male,,0,0,7.75,0,0.88373595,0.11626406,0
1030,1st,male,,0,0,221.7792,0,0.63639235,0.36360767,0
240,3rd,male,,0,0,7.2292,0,0.88373595,0.11626406,0
1041,3rd,female,21.0,0,0,7.75,0,0.39776134,0.60223865,1
880,3rd,female,45.0,0,0,7.75,0,0.39776134,0.60223865,1
977,2nd,male,2.0,1,1,26.0,1,0.6376713,0.3623287,0
24,3rd,male,20.0,0,0,7.925,1,0.88373595,0.11626406,0
308,3rd,male,70.5,0,0,7.75,0,0.88373595,0.11626406,0
1296,1st,male,37.0,1,1,52.5542,1,0.42823052,0.5717695,1
902,3rd,male,26.0,2,0,8.6625,0,0.9104105,0.08958948,0
707,2nd,female,57.0,0,0,10.5,0,0.26327592,0.7367241,1
272,3rd,male,33.0,0,0,9.5,0,0.88373595,0.11626406,0
994,2nd,male,34.0,0,0,13.0,0,0.80440944,0.19559056,0
668,1st,male,28.0,0,0,26.55,1,0.63639235,0.36360767,0
753,3rd,male,50.0,1,0,14.5,0,0.8912424,0.108757585,0
544,3rd,male,,0,0,6.4375,0,0.88373595,0.11626406,0
123,1st,female,39.0,0,0,108.9,1,0.13200384,0.86799616,1
1236,3rd,male,28.0,0,0,7.8958,0,0.88373595,0.11626406,0
852,3rd,female,,0,0,7.75,0,0.39776134,0.60223865,1
185,2nd,male,35.0,0,0,26.0,0,0.80440944,0.19559056,0
959,3rd,male,23.0,1,0,13.9,0,0.8912424,0.108757585,0
372,3rd,male,16.0,0,0,8.05,0,0.88373595,0.11626406,0
1115,3rd,male,34.0,0,0,8.05,0,0.88373595,0.11626406,0
31,2nd,male,28.0,0,0,26.0,0,0.80440944,0.19559056,0
